"year","station_name","station_long","station_lat","high","low","total_rainfall"
1989,"Leuchars",-2.86051,56.37745,21,-1,454.4
1989,"Lowestoft",1.72679,52.48323,22.2,2.9,455.6
1989,"Manston",1.33716,51.34597,22.9,3,450.5
1989,"Nairn",-3.82097,57.593,20.2,-1.8,527.8
1989,"Newton Rigg",-2.78644,54.6699,22.4,-0.7,842.3
1989,"Oxford",-1.2625,51.76073,24.9,3,598.8
1989,"Paisley",-4.42966,55.8455,22.2,-0.1,1192.4
1989,"Ross-on-Wye",-2.58441,51.91075,25,2.8,728.8
1989,"Shawbury",-2.66329,52.79433,23.3,1.1,588.8
1989,"Sheffield",-1.48986,53.38101,22.9,2.7,737.1
1989,"Stornoway Airport",-6.31772,58.21382,17,1.7,1478.7
1989,"Sutton Bonington",-1.25,52.8331,23.4,2.5,614.2
1989,"Tiree",-6.8796,56.49999,17,2,1382.7
1989,"Valley",-4.53524,53.25238,20.9,2.1,753.3
1989,"Waddington",-0.52173,53.17509,22.8,2,538
1989,"Whitby",-0.62411,54.48073,19.7,1.6,389.6
1989,"Wick Airport",-3.0884,58.45406,16.9,0.9,604
1989,"Yeovilton",-2.64148,51.00586,24.4,2.4,740.2
1990,"Aberporth",-4.56999,52.13914,20.1,2.8,751.7
1990,"Armagh",-6.64866,54.35234,20.2,1.2,883.7
1990,"Ballypatrick Forest",-6.15336,55.18062,18.2,2,1291.2
1990,"Bradford",-1.77234,53.81341,21.4,1.3,866.5
1990,"Braemar",-3.39635,57.00612,18.1,-1.2,998.8
1990,"Camborne",-5.32656,50.21782,20.3,3.9,1061.7
1990,"Cambridge NIAB",0.10196,52.24501,25.7,2.3,407.9
1990,"Cardiff Bute Park",-3.18728,51.48783,23.7,2.3,1000.4
1990,"Dunstaffnage",-5.43859,56.45054,NA,NA,2266.3
1990,"Durham",-1.58455,54.76786,22.3,1.6,597.6
1990,"Eastbourne",0.28543,50.76167,22.3,4.4,699.9
1990,"Eskdalemuir",-3.206,55.311,18.5,-0.9,1975.2
1990,"Heathrow",-0.44904,51.47872,26,2.5,425.4
1990,"Hurn",-1.83483,50.7789,24.4,1.1,704.2
1990,"Lerwick",-1.18299,60.13946,14.6,1.8,1529.3
1990,"Leuchars",-2.86051,56.37745,20.9,0.6,658.3
1990,"Lowestoft",1.72679,52.48323,23.3,2.9,564.3
